time,forecast_demand,real_demand
2014/10/26/5,8916.09378988631,9158.0
2014/10/26/6,9125.803151331296,9395.0
2014/10/26/7,9605.279484775932,9914.0
2014/10/26/8,10233.423018118188,10552.0
2014/10/26/9,11138.225380408994,11412.0
2014/10/26/10,11856.9476050796,12140.0
2014/10/26/11,12140.498290977042,12503.0
2014/10/26/12,12256.67530811558,12715.0
2014/10/26/13,12269.474471020672,12778.0
2014/10/26/14,12211.385962451404,12667.0
2014/10/26/15,12176.926677706924,12563.0
2014/10/26/16,12312.79471469945,12640.0
2014/10/26/17,12744.02804950181,12986.0
2014/10/26/18,13489.333150975302,13679.0
2014/10/26/19,14375.429044404818,14669.0
2014/10/26/20,14255.313823295484,14500.0
2014/10/26/21,13678.3669415736,13891.0
2014/10/26/22,12697.754152844938,12882.0
2014/10/26/23,11575.366021167552,11711.0
2014/10/26/24,10535.680172876924,10683.0
